UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA
AC,17938.0,1.120675297451032,466.0332757275059,485.38497045378523,505.95983944698406,474.7302709332144,550.6455569182741,496.5507826959528
AL,49704.0,1.1135303221667754,472.69101883148227,491.30294543698693,508.85431554804444,493.8532230806374,581.7085144052793,509.68200346048604
AM,46816.0,1.046661175680993,470.0525845864662,495.99408108339026,498.05588046821595,484.87967147983585,556.9886363636364,501.19417079630904
AP,18653.0,1.1100520779938505,464.1150109901892,486.12450544148396,499.65954538143995,469.4302149788238,552.9780732321879,494.461470004825
BA,200412.0,1.084185319852687,477.646962257749,497.64724467596756,514.3245653952857,495.3247220725306,577.8115082929166,512.55100053889
CE,150725.0,1.007926499869791,482.19238945098664,506.0165745563112,519.5841698457455,514.7432403383646,600.5068833969149,524.6086515176645
DF,51051.0,1.8556205026501944,503.096922685158,531.2576815341521,542.6657518951637,533.3595600477953,595.7599263481617,541.2279685020861
ES,44847.0,1.6748629683093714,505.1734697973109,529.2797043280486,536.0722924610342,540.2098891787634,606.8637813008673,543.519827413205
GO,86740.0,1.5561626508752968,491.34858542771497,514.5220198293752,528.1849204519253,517.9500138344478,598.9783260318193,530.1967731150565
MA,108439.0,0.9994879217448751,464.12351091397,483.2446186335174,500.50369239849135,477.3111823237027,563.2195058973248,497.6805020334013
MG,249574.0,1.74260193956246,507.69423377435146,535.9659163214117,543.2156899356503,549.7941251893226,622.7184722767596,551.8776874994992
MS,31265.0,1.6157107023213266,489.05833999680146,511.58009595394213,526.4732096593635,514.2258403966096,571.4441068287222,522.5563185670878
MT,38481.0,1.6983438630656493,484.0845975936177,506.7558509394246,519.4666926535174,507.2661287388581,571.9024973363478,517.895153452353
PA,147116.0,1.074531269969554,469.21983332880177,488.39945961010363,502.48610960058727,479.9063487316132,572.5021071807281,502.50277169036684
PB,82808.0,1.1150045923301226,478.4798425272919,499.2657871220172,513.3442831610473,502.3535636653463,590.8001642353396,516.8487281422085
PE,147135.0,1.1282138685595526,482.97050395894934,502.53739151119726,520.9809018928196,511.8737356849152,587.8321269582357,521.2389320012232
PI,64812.0,1.0092049955569362,471.5046040856632,490.53069339011296,505.06956890699263,492.1380608529284,584.2387212244646,508.69632969203235
PR,104372.0,2.0928106790089482,507.6105852144253,536.9248150845054,542.7234957651477,546.0566550415821,588.6308588510328,544.3892819913386
RJ,167957.0,1.712353231386172,501.6465690623195,531.2968485981531,544.1220175402037,537.6347541334985,616.7292818995338,546.2858942467418
RN,63869.0,1.302735237162685,487.1860025990699,508.552004884999,522.886168563779,515.669711440605,596.5801875714353,526.1748150119776
RO,21882.0,1.4114214303813561,477.8099899460744,495.5561511744813,510.0576592633214,493.9641440453341,554.2592084818573,506.3294305822138
RR,5950.0,1.4277303084224064,480.1736974789915,503.25235294117647,516.5187394957982,494.4755798319328,554.0537815126052,509.6948302521007
RS,108743.0,1.9246408101536827,497.2299899763663,531.063378792198,542.1177730980385,536.6822167863678,596.5820328664834,540.7350783038908
SC,51172.0,2.2504764448555465,509.54364691628234,539.4583795825843,543.562727663566,551.5198819667006,600.7703431564137,548.9709958571094
SE,42843.0,1.1147441940709522,482.04072543939503,500.0851644375977,512.8180612935602,498.69347384636933,605.5294913988283,519.8333832831502
SP,371665.0,2.07408231269236,511.7297469495378,542.0794185624151,552.5187765864422,556.8012659249594,608.9751792608936,554.4208774568496
TO,23856.0,1.2800198507057268,470.640036049631,489.8720992622401,506.84278169014084,490.54814721663314,562.3918511066398,504.058983065057
