UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA
AC,34927.0,1.0326739114919616,487.5798923468949,491.2125318521488,487.89001631975265,480.02506370429757,487.78709880608125,486.8989206058351
AL,81371.0,0.9827036462854567,492.3764498408524,498.01190350370524,491.9541273918227,492.62805544973014,512.0679357510661,497.40769438743513
AM,89847.0,0.9458955157531671,490.50738700234837,494.8683940476589,491.5969336761383,483.8595033779648,487.34982804100304,489.63640922902266
AP,31951.0,1.048532012440131,488.04098463271885,498.6491972082251,489.7421864730369,479.3692654377015,498.02885668680165,490.76609808769683
BA,311348.0,1.0284006918473487,501.7315582563562,510.39494070943124,500.2214014543212,497.6017671544381,522.980973059085,506.58612812672635
CE,251295.0,0.8862363169825227,502.0960174297141,512.1011285540898,502.64485962713155,513.6072580035416,527.5520802244374,511.60026876778284
DF,83359.0,2.046759315169025,523.4261951318994,535.983490684869,527.1940306385634,527.9308329034657,549.544980146115,532.8159059009824
ES,91032.0,1.6403264597368745,521.5754679673081,533.0123022673346,518.1159702082784,534.1432902715528,541.2470340100184,529.6188129448985
GO,142502.0,1.6772004946496792,514.4750235084422,521.9071107773926,512.2184425481748,519.401122791259,538.9814879791161,521.3966375208769
MA,193733.0,0.8693392990240335,489.915229207208,493.76014618056814,486.8387615945659,483.63903619930517,491.06192543345736,489.0430197230208
MG,478859.0,1.67493130706966,524.6731271626929,537.2748226513442,523.4423082786374,541.137095261862,552.1943620147058,535.7443430738484
MS,54406.0,1.595958325354293,511.27569937139293,516.7539425798626,509.6411259787523,513.5191743557697,516.3548138073006,513.5089512186157
MT,75346.0,1.7493161513422264,504.6256748865234,510.0890929843655,499.15170679266316,502.88530778010784,498.32904201948344,503.0161648926286
PA,237859.0,1.0597669906178644,495.9624664191811,503.593337649616,491.60337258628005,486.3694289474016,511.24985810921595,497.755692742339
PB,133710.0,0.9983678156029697,501.1985348889387,509.2548739810037,500.95735621868226,505.75961857751844,521.9608107097449,507.8262388751777
PE,250163.0,1.0498336668881445,500.7368547706895,509.0726430367401,503.7906385036956,509.5000059960905,515.6530741956244,507.75064330056796
PI,106334.0,0.8865414445979896,495.7692939229222,500.48703236970294,490.570406455132,496.3950157052307,513.3176594504109,499.30788158067975
PR,189621.0,2.144195110874909,524.430497676945,538.013316563039,525.6290906597899,535.7844500345425,532.9510971886025,531.3616904245838
RJ,290914.0,1.803233233262735,521.2414868311596,538.8462841252054,528.2595079645531,539.6335277779688,555.851626253807,536.7664865905388
RN,109610.0,1.1178106670572425,506.8551199708056,513.034526959219,505.1839968980932,510.2126649028373,520.5619925189308,511.1696602499772
RO,50883.0,1.5277934822070607,498.19315095414964,504.2852563724623,495.3627989701865,494.28670479334943,490.80242910205766,496.5860680384411
RR,11718.0,1.2459232789165067,500.8574842123229,505.50519713261644,495.65755248335887,492.49266086362854,485.46168288103775,495.994915514593
RS,195441.0,2.1384059912917057,520.7141546553692,535.5257555988765,527.828362012065,536.3557083723476,544.4947580088109,532.9837477294939
SC,86449.0,2.43908219359385,529.1855521752709,541.3559879235156,528.023749262571,545.7872294647711,544.224224687388,537.7153487027033
SE,64812.0,0.99176982166026,502.212016293279,509.02237857186935,498.4825726717273,501.77823859779056,532.0005554526939,508.69915231747217
SP,729109.0,2.2203257604591533,522.1120104127092,538.7979732797154,530.6332725285245,540.2014096657701,540.9431511612119,534.5375634095863
TO,45306.0,1.19427304647618,494.84047146073374,499.61820730146115,491.0824703129829,493.0339182448242,502.70648479230124,496.25631042246056
